Date,State Name,Vegetable Name,Wholesale Price,Retail Price,Shopping Mall Price,Units,Vegetable Image
2024-08-06,karnataka,Onion Big,42,48 - 53,50 - 69,1kg,
2024-08-06,karnataka,Onion Small,61,70 - 77,73 - 101,1kg,
2024-08-06,karnataka,Tomato,29,33 - 37,35 - 48,1kg,
2024-08-06,karnataka,Green Chilli,56,64 - 71,67 - 92,1kg,
2024-08-06,karnataka,Beetroot,38,44 - 48,46 - 63,1kg,
2024-08-06,karnataka,Potato,42,48 - 53,50 - 69,1kg,
2024-08-06,karnataka,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,
2024-08-06,karnataka,Amaranth Leaves,14,16 - 18,17 - 23,1kg,
2024-08-06,karnataka,Amla,75,86 - 95,90 - 124,1kg,
2024-08-06,karnataka,Ash gourd,16,18 - 20,19 - 26,1kg,
2024-08-06,karnataka,Baby Corn,49,56 - 62,59 - 81,1kg,
2024-08-06,karnataka,Banana Flower,18,21 - 23,22 - 30,1kg,
2024-08-06,karnataka,Capsicum,44,51 - 56,53 - 73,1kg,
2024-08-06,karnataka,Bitter Gourd,38,44 - 48,46 - 63,1kg,
2024-08-06,karnataka,Bottle Gourd,33,38 - 42,40 - 54,1kg,
2024-08-06,karnataka,Butter Beans,52,60 - 66,62 - 86,1kg,
2024-08-06,karnataka,Broad Beans,40,46 - 51,48 - 66,1kg,
2024-08-06,karnataka,Cabbage,32,37 - 41,38 - 53,1kg,
2024-08-06,karnataka,Carrot,49,56 - 62,59 - 81,1kg,
2024-08-06,karnataka,Cauliflower,26,30 - 33,31 - 43,1kg,
2024-08-06,karnataka,Cluster beans,42,48 - 53,50 - 69,1kg,
2024-08-06,karnataka,Coconut,36,41 - 46,43 - 59,1kg,
2024-08-06,karnataka,Colocasia Leaves,15,17 - 19,18 - 25,1kg,
2024-08-06,karnataka,Colocasia,28,32 - 36,34 - 46,1kg,
2024-08-06,karnataka,Coriander Leaves,8,9 - 10,10 - 13,1kg,
2024-08-06,karnataka,Corn,31,36 - 39,37 - 51,1kg,
2024-08-06,karnataka,Cucumber,29,33 - 37,35 - 48,1kg,
2024-08-06,karnataka,Curry Leaves,26,30 - 33,31 - 43,1kg,
2024-08-06,karnataka,Dill Leaves,13,15 - 17,16 - 21,1kg,
2024-08-06,karnataka,Drumsticks,80,92 - 102,96 - 132,1kg,
2024-08-06,karnataka,Brinjal,37,43 - 47,44 - 61,1kg,
2024-08-06,karnataka,Brinjal (Big),34,39 - 43,41 - 56,1kg,
2024-08-06,karnataka,Elephant Yam,35,40 - 44,42 - 58,1kg,
2024-08-06,karnataka,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,
2024-08-06,karnataka,French Beans,51,59 - 65,61 - 84,1kg,
2024-08-06,karnataka,Garlic,190,219 - 241,228 - 314,1kg,
2024-08-06,karnataka,Ginger,104,120 - 132,125 - 172,1kg,
2024-08-06,karnataka,Onion Green,46,53 - 58,55 - 76,1kg,
2024-08-06,karnataka,Green Peas,50,58 - 64,60 - 83,1kg,
2024-08-06,karnataka,Ivy Gourd,31,36 - 39,37 - 51,1kg,
2024-08-06,karnataka,Lemon (Lime),99,114 - 126,119 - 163,1kg,
2024-08-06,karnataka,Mango Raw,39,45 - 50,47 - 64,1kg,
2024-08-06,karnataka,Mint Leaves,5,6 - 6,6 - 8,1kg,
2024-08-06,karnataka,Mushroom,94,108 - 119,113 - 155,1kg,
2024-08-06,karnataka,Mustard Leaves,15,17 - 19,18 - 25,1kg,
2024-08-06,karnataka,Ladies Finger,36,41 - 46,43 - 59,1kg,
2024-08-06,karnataka,Pumpkin,17,20 - 22,20 - 28,1kg,
2024-08-06,karnataka,Radish,29,33 - 37,35 - 48,1kg,
2024-08-06,karnataka,Ridge Gourd,40,46 - 51,48 - 66,1kg,
2024-08-06,karnataka,Shallot (Pearl Onion),35,40 - 44,42 - 58,1kg,
2024-08-06,karnataka,Snake Gourd,35,40 - 44,42 - 58,1kg,
2024-08-06,karnataka,Sorrel Leaves,17,20 - 22,20 - 28,1kg,
2024-08-06,karnataka,Spinach,14,16 - 18,17 - 23,1kg,
2024-08-06,karnataka,Sweet Potato,44,51 - 56,53 - 73,1kg,
